Date,Ambulance Trust,Count of Handovers Over 15 Minutes,Handover Compliance,% of Handovers Over 15 Minutes,Count of Handovers Over 30 Minutes,% of Handovers Over 30 Minutes,Count of Handovers Over 60 Minutes,% of Handovers Over 60 Minutes,Count of Handovers Over 90 Minutes,% of Handovers Over 90 Minutes,Hours lost for Handovers over 15 minutes,Hours lost for Handovers over 30 minutes,Hours lost for Handovers over 60 minutes,Longest Handover (mm.m),Mean Handover Time (mm.m),90th Centile Handover Time (mm.m),Total Handover Time (hh.h),Average Time Lost for Handovers over 15 minutes per Handover (hh.h)
19-Jun-22,EEAST,786,84.37%,80.45%,389,39.82%,187,19.14%,131,13.41%,483.55,342.43,210.65,340.3,44.03,105.19,717,0.49
18-Jun-22,EEAST,712,81.13%,80.00%,332,37.30%,187,21.01%,126,14.16%,495.86,373.15,252.85,394.4,47.73,103.25,707.97,0.56
17-Jun-22,EEAST,750,81.01%,76.77%,346,35.41%,152,15.56%,106,10.85%,422.64,292.69,183.98,343.95,40.11,89.61,653.12,0.43
16-Jun-22,EEAST,829,83.08%,81.19%,410,40.16%,183,17.92%,109,10.68%,463.59,313.89,179.34,359.57,41.6,89.96,707.93,0.45
15-Jun-22,EEAST,773,79.62%,79.77%,423,43.65%,192,19.81%,102,10.53%,444.64,302.92,159.39,327.72,41.82,90.41,675.46,0.46
14-Jun-22,EEAST,793,82.07%,80.59%,413,41.97%,195,19.82%,107,10.87%,494.59,351.74,209.33,395.9,44.49,101.65,729.7,0.5
13-Jun-22,EEAST,769,78.66%,78.15%,393,39.94%,226,22.97%,158,16.06%,587.37,449.14,302.48,560.38,49.94,113.33,819.07,0.6
12-Jun-22,EEAST,770,81.64%,78.01%,330,33.43%,147,14.89%,101,10.23%,416.76,289.94,181.5,344.08,39.61,84.79,651.61,0.42
11-Jun-22,EEAST,714,81.20%,74.45%,312,32.53%,136,14.18%,78,8.13%,332.66,210.82,107.61,260.9,34.92,76.24,558.16,0.35
10-Jun-22,EEAST,869,85.76%,78.43%,410,37.00%,176,15.88%,105,9.48%,455.33,306.37,172.17,399.35,38.91,81.01,718.45,0.41
09-Jun-22,EEAST,755,80.65%,80.49%,383,40.83%,208,22.17%,141,15.03%,538.68,403.64,265.3,558.73,48.68,119.7,760.95,0.57
08-Jun-22,EEAST,745,78.06%,83.43%,402,45.02%,212,23.74%,130,14.56%,525.33,388.6,246.64,422.92,49.71,111.29,739.82,0.59
07-Jun-22,EEAST,738,74.36%,84.25%,409,46.69%,240,27.40%,162,18.49%,645.56,508.37,355.08,583.27,58.68,149.26,856.71,0.74
06-Jun-22,EEAST,751,72.62%,82.08%,417,45.57%,245,26.78%,190,20.77%,726.17,585.25,429.6,612.1,61.94,149.7,944.54,0.79
05-Jun-22,EEAST,737,80.18%,76.53%,311,32.29%,136,14.12%,86,8.93%,427.54,306.2,205.01,527.18,40.82,87.26,655.17,0.44
04-Jun-22,EEAST,749,81.18%,75.50%,310,31.25%,127,12.80%,84,8.47%,365.98,242.51,144.49,295.45,36.24,77.43,599.24,0.37
03-Jun-22,EEAST,903,87.41%,74.75%,347,28.73%,125,10.35%,68,5.63%,341.01,200.37,96.7,372.27,31.09,63.67,625.95,0.28
02-Jun-22,EEAST,922,88.66%,78.60%,363,30.95%,131,11.17%,58,4.94%,328.96,182.08,73.38,251.63,31.08,59.05,607.69,0.28
01-Jun-22,EEAST,768,84.69%,76.72%,309,30.87%,96,9.59%,54,5.39%,309.5,183.42,99.37,270.25,32.75,67.03,546.37,0.31
31-May-22,EEAST,765,82.28%,79.60%,374,38.92%,175,18.21%,100,10.41%,418.19,286.1,158.21,444.73,40.35,90.81,646.33,0.44
30-May-22,EEAST,797,82.27%,77.00%,355,34.30%,152,14.69%,93,8.99%,406.18,275.1,159.94,361.73,37.75,83.35,651.24,0.39
29-May-22,EEAST,732,86.28%,72.76%,266,26.44%,102,10.14%,63,6.26%,316.92,202.31,121.59,323.15,33.01,71.05,553.45,0.32
28-May-22,EEAST,751,85.13%,72.49%,291,28.09%,130,12.55%,82,7.92%,375.78,260.25,167.64,488.13,35.9,84.44,619.83,0.36
27-May-22,EEAST,788,84.62%,77.41%,356,34.97%,169,16.60%,110,10.81%,421.3,288.66,171.42,340.6,39.04,83.09,662.46,0.41
26-May-22,EEAST,792,84.25%,77.95%,322,31.69%,123,12.11%,63,6.20%,331.4,199.61,102.51,342.63,33.83,73.72,572.85,0.33
25-May-22,EEAST,775,81.56%,78.60%,313,31.74%,131,13.29%,72,7.30%,344.38,219.65,120.95,291.37,35.22,76.57,578.81,0.35
24-May-22,EEAST,756,79.05%,81.47%,341,36.75%,168,18.10%,114,12.28%,454.37,325.99,208.84,347.03,43.66,97.23,675.24,0.49
23-May-22,EEAST,726,76.48%,76.18%,315,33.05%,148,15.53%,99,10.39%,434.99,312.38,205.41,426.52,41.56,95.01,660.09,0.46
22-May-22,EEAST,795,85.68%,73.41%,298,27.52%,107,9.88%,59,5.45%,295.72,168.67,82.63,312.83,30.41,60.97,548.95,0.27
21-May-22,EEAST,781,85.54%,73.75%,332,31.35%,121,11.43%,64,6.04%,336.93,207.12,112.03,273.97,33.17,68.34,585.53,0.32
20-May-22,EEAST,765,79.70%,76.42%,328,32.77%,144,14.39%,80,7.99%,363.5,239.54,132.23,277.03,36,77.7,600.64,0.36
